Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
96.8,7546968264,2,3773484132.0,3773484132.0,64715067,7482253197,5244991511.4,PushPop,:CPU
3.0,233473864,1,233473864.0,233473864.0,233473864,233473864,0.0,PushPop,:IO
0.2,18658078,1,18658078.0,18658078.0,18658078,18658078,0.0,PushPop,:Comm
