Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
96.8,7483706250,2,3741853125.0,3741853125.0,61288831,7422417419,5205103941.8,PushPop,:CPU
3.1,238507622,1,238507622.0,238507622.0,238507622,238507622,0.0,PushPop,:IO
0.1,9779460,1,9779460.0,9779460.0,9779460,9779460,0.0,PushPop,:Comm
