Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
86.0,10722294813,2,5361147406.5,5361147406.5,76212536,10646082277,7474026570.1,PushPop,:CPU
13.0,1622204960,1,1622204960.0,1622204960.0,1622204960,1622204960,0.0,PushPop,:IO
1.0,125282143,1,125282143.0,125282143.0,125282143,125282143,0.0,PushPop,:Comm
