Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
80.3,4655958936,2,2327979468.0,2327979468.0,62544125,4593414811,3203809386.7,PushPop,:CPU
17.0,985307282,1,985307282.0,985307282.0,985307282,985307282,0.0,PushPop,:Comm
2.7,156746723,1,156746723.0,156746723.0,156746723,156746723,0.0,PushPop,:IO
