Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
89.0,14204535670,2,7102267835.0,7102267835.0,77183320,14127352350,9934969797.9,PushPop,:CPU
10.2,1629016283,1,1629016283.0,1629016283.0,1629016283,1629016283,0.0,PushPop,:IO
0.8,124502165,1,124502165.0,124502165.0,124502165,124502165,0.0,PushPop,:Comm
