Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
91.7,19912709206,2,9956354603.0,9956354603.0,79531412,19833177794,13967937309.9,PushPop,:CPU
7.5,1620124549,1,1620124549.0,1620124549.0,1620124549,1620124549,0.0,PushPop,:IO
0.8,182063973,1,182063973.0,182063973.0,182063973,182063973,0.0,PushPop,:Comm
