Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
85.9,10506326608,2,5253163304.0,5253163304.0,70350200,10435976408,7329604582.9,PushPop,:CPU
11.9,1460455060,1,1460455060.0,1460455060.0,1460455060,1460455060,0.0,PushPop,:IO
2.2,266228109,1,266228109.0,266228109.0,266228109,266228109,0.0,PushPop,:Comm
